2016.03.28 20:30:09.651039 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:09.674887 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:09.682627 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:09.707377 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:09.717337 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:09.740519 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:09.750101 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:09.773144 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591363eff in devices list
2016.03.28 20:30:09.782930 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913679ff
2016.03.28 20:30:09.808059 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913679ff in devices list
2016.03.28 20:30:09.815653 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591382fff
2016.03.28 20:30:09.841159 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591382fff in devices list
2016.03.28 20:30:09.850944 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 125->> update devices finish
2016.03.28 20:30:09.856794 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:09.866511 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 105->> check for new devices
2016.03.28 20:30:09.872348 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:09.897468 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:09.905162 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:09.930219 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:09.940206 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:09.962766 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:09.972463 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:09.995400 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591363eff in devices list
2016.03.28 20:30:10.005193 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913679ff
